name,engine,technology,conforms,message,successes,failures
resilience,shacl,shacl_s,False,,[],"[{'node': ':c', 'shape': ':S1'}, {'node': ':b', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S'}]"
resilience,shacl,jena_shacl,False,,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience,shacl,shacl_tq,False,,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience,shacl,rudof,False,,[],"[{'node': ':c', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
resilience,shex,shex_s,False,"Schema is NOT well formed: Negative cycles: (IRILabel(<http://example.org/S1>),IRILabel(<http://example.org/S>)),(IRILabel(<http://example.org/S>),IRILabel(<http://example.org/S1>))",[],[]
resilience,shex,jena_shex,False,,"[{'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}]","[{'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S'}]"
resilience,shex,rudof,Exception,,[],list index out of range
resilience_fixed,shacl,pyshacl,False,,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience_fixed,shacl,shacl_s,False,,[],"[{'node': ':c', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S1'}, {'node': ':c', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}, {'node': ':b', 'shape': ':S'}]"
resilience_fixed,shacl,jena_shacl,False,,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience_fixed,shacl,shacl_tq,False,,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience_fixed,shacl,rudof,False,,[],"[{'node': ':c', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
resilience_fixed,shex,shex_s,False,"Schema is NOT well formed: Negative cycles: (IRILabel(<http://example.org/S1>),IRILabel(<http://example.org/S>)),(IRILabel(<http://example.org/S>),IRILabel(<http://example.org/S1>))",[],[]
resilience_fixed,shex,jena_shex,False,,"[{'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}]","[{'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S'}]"
resilience_fixed,shex,rudof,Exception,,[],list index out of range
isolation1,shacl,pyshacl,True,,[],[]
isolation1,shacl,shacl_s,True,,[],[]
isolation1,shacl,jena_shacl,True,,[],[]
isolation1,shacl,shacl_tq,False,,[],[]
isolation1,shacl,rudof,True,,[],[]
isolation1,shex,shex_s,True,No failures,"[{'node': ':a', 'shape': ':S1'}]",[]
isolation1,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S1'}]",[]
isolation1,shex,rudof,True,No failures,"[{'node': ':a', 'shape': ':S1'}]",[]
isolation2,shacl,pyshacl,False,,[],[]
isolation2,shacl,shacl_s,False,,[],"[{'node': ':b', 'shape': ':S2'}]"
isolation2,shacl,jena_shacl,False,,[],[]
isolation2,shacl,shacl_tq,True,,[],[]
isolation2,shacl,rudof,True,,[],[]
isolation2,shex,shex_s,True,No failures,"[{'node': ':b', 'shape': ':S2'}]",[]
isolation2,shex,jena_shex,True,,"[{'node': ':b', 'shape': ':S2'}]",[]
isolation2,shex,rudof,True,No failures,"[{'node': ':b', 'shape': ':S2'}]",[]
isolation3,shacl,pyshacl,False,,[],[]
isolation3,shacl,shacl_s,False,,[],"[{'node': ':b', 'shape': ':S2'}]"
isolation3,shacl,jena_shacl,False,,[],[]
isolation3,shacl,shacl_tq,False,,[],[]
isolation3,shacl,rudof,True,,[],[]
isolation3,shex,shex_s,True,No failures,"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S2'}]",[]
isolation3,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S2'}]",[]
isolation3,shex,rudof,True,No failures,"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S2'}]",[]
