name,engine,technology,description,conforms,successes,failures
reach2,shacl,pyshacl,"Separation test - reach2 (SHACL)
",False,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,shaclex_shacl,"Separation test - reach2 (SHACL)
",False,[],[]
reach2,shacl,jena_shacl,"Separation test - reach2 (SHACL)
",False,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,shacl_tq,"Separation test - reach2 (SHACL)
",False,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,shex_s,"Separation test - reach2 (ShEx)
",False,"[{'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}, {'node': ':b', 'shape': ':R'}, {'node': ':a', 'shape': ':R'}]","[{'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}, {'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
safe2,shacl,pyshacl,"Separation test - safe2 (SHACL)
",False,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]"
safe2,shacl,shaclex_shacl,"Separation test - safe2 (SHACL)
",Error,[],Error running commandCommandResult.TIMEOUT
safe2,shacl,jena_shacl,"Separation test - safe2 (SHACL)
",False,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]"
safe2,shacl,shacl_tq,"Separation test - safe2 (SHACL)
",False,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]"
safe2,shacl,shex_s,"Separation test - safe2 (ShEx)
",False,"[{'node': ':c', 'shape': ':S'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':S'}, {'node': ':d', 'shape': ':R'}, {'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':R'}]","[{'node': ':b', 'shape': ':R'}, {'node': ':a', 'shape': ':S'}]"
nostratnocycle,shacl,pyshacl,"Feature test - Non-stratified negation without cyclic data -- nostratnocycle (SHACL)
",False,[],[]
nostratnocycle,shacl,shaclex_shacl,"Feature test - Non-stratified negation without cyclic data -- nostratnocycle (SHACL)
",False,[],[]
nostratnocycle,shacl,jena_shacl,"Feature test - Non-stratified negation without cyclic data -- nostratnocycle (SHACL)
",False,[],[]
nostratnocycle,shacl,shacl_tq,"Feature test - Non-stratified negation without cyclic data -- nostratnocycle (SHACL)
",False,[],[]
nostratnocycle,shacl,shex_s,"Feature test - Non-stratified negation without cyclic data -- nostratnocycle (ShEx)
",False,"[{'node': ':b', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':e', 'shape': ':S'}]"
nostratcycle,shacl,pyshacl,"Feature test - Non-stratified negation with cyclic data -- nostratcycle (SHACL)
",False,[],[]
nostratcycle,shacl,shaclex_shacl,"Feature test - Non-stratified negation with cyclic data -- nostratcycle (SHACL)
",True,[],[]
